"seq_id","library_name","tissue","ploidy","desiccation","heat_shock","library_kit","sra_bioproject","sra_accession","report_file","bismark_version","sequence_pairs_total","unique_best_hit","mapping_efficiency_percent","total_cytosines","methylated_cpg","methylated_chg","methylated_chh","methylated_unknown","unmethylated_cpg","unmethylated_chg","unmethylated_chh","unmethylated_unknown","cpg_percent","chg_percent","chh_percent","unknown_percent"
"zr3534_1","D11-C","ctenidia","diploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508698","zr3534_1_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",76522716,47127724,61.6,1636781777,22358259,1394261,5914275,52616,191433820,285827469,1129853693,3992972,10.5,0.5,0.5,1.3
"zr3534_2","D12-C","ctenidia","diploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508699","zr3534_2_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",75413899,46140925,61.2,1612045578,21945879,1370392,5818112,53662,190060088,281860222,1110990885,3919471,10.4,0.5,0.5,1.4
"zr3534_3","D13-C","ctenidia","diploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508700","zr3534_3_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",78091157,47623705,61,1670693519,25533290,1462648,6171814,61366,191641924,289598207,1156285636,4126149,11.8,0.5,0.5,1.5
"zr3534_4","D19-C","ctenidia","diploid","yes","yes","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508701","zr3534_4_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",74728031,45908181,61.4,1599391484,23340714,1384115,5878620,57442,184831527,278458490,1105498018,3919106,11.2,0.5,0.5,1.4
"zr3534_5","D20-C","ctenidia","diploid","yes","yes","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508702","zr3534_5_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",84046138,51605460,61.4,1797447404,26305415,1561214,6629878,63671,207531853,312507188,1242911856,4404409,11.2,0.5,0.5,1.4
"zr3534_6","T11-C","ctenidia","triploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508703","zr3534_6_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",75321697,45769591,60.8,1601850100,21471982,1356883,5810020,54542,186450650,277897763,1108862802,3983886,10.3,0.5,0.5,1.4
"zr3534_7","T12-C","ctenidia","triploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508704","zr3534_7_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",66080050,40370046,61.1,1403343205,18233544,1194392,5127016,46389,161678658,242953310,974156285,3481561,10.1,0.5,0.5,1.3
"zr3534_8","T13-C","ctenidia","triploid","yes","no","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508705","zr3534_8_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",90605411,55543581,61.3,1919611382,25390230,1605629,6877825,64253,221478350,332078494,1332180854,4697286,10.3,0.5,0.5,1.3
"zr3534_9","T19-C","ctenidia","triploid","yes","yes","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508706","zr3534_9_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",73776588,45591578,61.8,1595529090,21006842,1277934,5350483,49317,188873033,281019136,1098001662,3841672,10,0.5,0.5,1.3
"zr3534_10","T20-C","ctenidia","triploid","yes","yes","Zymo-Seq WGBS Library Kit (Cat#: D5465)","PRJNA678408","SRX9508707","zr3534_10_R1.fastp-trim.20201202_bismark_bt2_PE_report.txt","v0.21.0",77576026,48007674,61.9,1687130988,22194995,1322680,5572782,51737,200864245,297108560,1160067726,4034330,10,0.4,0.5,1.3
